Enjoyed1, Fit1, Relaxed1, Rested1, Sated1, Money1, Enjoyed2, Fit2, Relaxed2, Rested2, Sated2, Money2
0.999863,0.7943788,0.9428908,0.7323767,0.657809,805,0.9060234,0.9001608,1,1,0.9489732,105
0.9997295,0.794351,1,1,0.6057247,805,0.9060234,0.9001608,1,1,0.9489732,105
0.9997295,0.794351,1,1,0.6057247,805,0.9060234,0.9001608,1,1,0.9489732,105
0.9997295,0.794351,1,1,0.6057247,805,0.9049533,0.8999379,0.9989299,0.9989299,0.999805,105
0.9997295,0.794351,1,1,0.6057247,805,0.8935607,0.8975642,1,1,0.946367,105
0.8909125,0.7892096,0.7870505,0.7870505,0.5630956,840,0.8935607,0.8975642,1,1,0.946367,105
0.8909125,0.7892096,0.7870505,0.7870505,0.5630956,840,0.8935607,0.8975642,1,1,0.946367,105
0.8909125,0.7892096,0.7870505,0.7870505,0.5630956,840,0.8935607,0.8975642,1,1,0.946367,105
0.8909125,0.7892096,0.7870505,0.7870505,0.5630956,840,0.8934246,0.8975359,1,1,0.8952729,105
0.7865136,0.7850106,0.5783899,0.5783899,0.5213624,875,0.8932846,0.8975067,1,1,0.8441765,105
0.7865136,0.7850106,0.5783899,0.5783899,0.5213624,875,0.8932846,0.8975067,1,1,0.8441765,105
0.7865136,0.7850106,0.5783899,0.5783899,0.5213624,875,0.8932846,0.8975067,1,1,0.8441765,105
0.7839723,0.7844811,0.5758485,0.5758485,0.5208329,875,0.8932846,0.8975067,1,1,0.8441765,105
0.7818366,0.7840362,0.7737128,0.6237128,0.4681251,875,0.6812336,0.8918563,0.7879491,0.7879491,0.801704,140
0.7810324,0.7838686,0.9729087,0.6729087,0.4157746,875,0.6812336,0.8918563,0.7879491,0.7879491,0.801704,140
0.7652417,0.7795317,0.957118,0.6466485,0.4020155,865,0.6812336,0.8918563,0.7879491,0.7879491,0.801704,140
0.7434732,0.7749962,0.9353494,0.62488,0.3974807,865,0.6812336,0.8918563,0.7879491,0.7879491,0.801704,140
0.9363321,0.7735078,0.9782084,0.565474,1,865,0.4683414,0.8875728,0.5750569,0.5750569,0.7591244,175
